timestamp,ticker,signal,return,success
2022-06-21,CSGP,BUY,-0.0170056100981766,0
2022-06-22,CSGP,SELL,-0.0376884422110553,0
2022-06-23,CSGP,BUY,0.0192241675248885,1
2022-06-24,CSGP,BUY,0.0475,1
2022-06-27,CSGP,BUY,-0.0186157517899761,0
2022-06-28,CSGP,BUY,-0.0188617886178861,0
2022-06-29,CSGP,BUY,-0.0038054268696227,0
2022-06-30,CSGP,SELL,-0.0164899882214369,0
2022-04-01,UAL,SELL,0.0156955493442269,1
2022-04-04,UAL,BUY,0.0022011886418666,1
2022-04-05,UAL,SELL,0.0214488947253227,1
2022-04-06,UAL,SELL,0.0042769622009016,1
2022-04-07,UAL,BUY,-0.0100396918048097,0
2022-04-08,UAL,BUY,-0.0073338064821386,0
2022-04-11,UAL,BUY,0.0291120815138283,1
2022-04-12,UAL,BUY,0.0037585153864222,1
2022-04-13,UAL,BUY,0.0096401172023529,1
2022-04-14,UAL,HOLD,0.0,0
2022-04-18,UAL,BUY,-0.004753282028067,0
2022-04-19,UAL,SELL,-0.0321203953279424,0
2022-04-20,UAL,SELL,-0.0033430389302275,0
2022-04-21,UAL,BUY,0.0081284694686757,1
2022-04-22,UAL,SELL,0.0105748894443375,1
2022-04-25,UAL,SELL,-0.0056851597725935,0
2022-04-26,UAL,BUY,-0.0370516357903035,0
2022-04-27,UAL,BUY,0.0313846153846154,1
2022-04-28,UAL,BUY,0.0220907297830374,1
2022-04-29,UAL,SELL,0.0172229249781064,1
2022-05-02,UAL,SELL,0.005941770647653,1
2022-05-03,UAL,SELL,-0.019646755308593,0
2022-05-04,UAL,BUY,0.0174475593020976,1
2022-05-05,UAL,BUY,-0.0407062285434036,0
2022-05-06,UAL,SELL,0.0264290104486785,1
2022-05-09,UAL,SELL,0.0698024054982817,1
2022-05-10,UAL,SELL,0.0018099547511313,1
2022-05-11,UAL,SELL,0.0165129256348935,1
2022-05-12,UAL,SELL,0.0177979740603995,1
2022-05-13,UAL,BUY,0.0218443735978274,1
2022-05-16,UAL,SELL,-0.0085707667361593,0
2022-05-17,UAL,BUY,0.0341259357111404,1
2022-05-18,UAL,SELL,0.0341917333910408,1
2022-05-19,UAL,BUY,0.0061447428311334,1
2022-05-20,UAL,BUY,-0.0322222222222222,0
